Suburb,Latitude,Longitude
Aitkenvale,-19.298781,146.771005
Alice River,-19.328267,146.60246
Alligator Creek,-19.418449,146.943634
Annandale,-19.309518,146.786298
Arcadia,-19.148461,146.866087
Balgal Beach,-19.041205,146.409508
Barringha,-19.538017,146.790917
Beach Holm,-19.205889,146.64992
Belgian Gardens,-19.247192,146.792479
Black River,-19.262397,146.598354
Bluewater,-19.178678,146.544011
Bluewater Park,-19.204903,146.512322
Bohle,-19.253655,146.718468
Bohle Plains,-19.317658,146.690384
Brookhill,-19.407924,146.856177
Burdell,-19.240829,146.697595
Bushland Beach,-19.199067,146.676404
Calcium,-19.66954,146.804643
Cape Cleveland,-19.327209,147.015706
Castle Hill,-19.256659,146.799359
Clemant,-19.110395,146.433842
Cluden,-19.315952,146.829036
Condon,-19.330433,146.716362
Cosgrove,-19.27187,146.71255
Cranbrook,-19.307,146.751
Cungulla,-19.387738,147.110975
Currajong,-19.275211,146.779184
Deeragun,-19.251789,146.674412
Douglas,-19.320946,146.747495
Florence Bay,-19.121279,146.876955
Garbutt,-19.262654,146.761373
Granite Vale,-19.591995,146.629119
Gulliver,-19.284662,146.77539
Gumlow,-19.349349,146.687227
Heatley,-19.289413,146.753552
Hermit Park,-19.280603,146.804551
Hervey Range,-19.320258,146.153129
Horseshoe Bay,-19.126024,146.861744
Hyde Park,-19.276767,146.79609
Idalia,-19.307255,146.813161
Jensen,-19.261521,146.643491
Julago,-19.375193,146.896392
Kelso,-19.383759,146.728832
Kirwan,-19.300649,146.718538
Lynam,-19.301711,146.496259
Majors Creek,-19.647892,147.046192
Mount Louisa,-19.275994,146.734083
Mount Low,-19.225907,146.662697
Mount St John,-19.26078,146.73413
Mt Stuart,-19.35,146.7833
Mundingburra,-19.298297,146.785176
Mutarnee,-18.953489,146.29248
Mysterton,-19.287178,146.793646
Nelly Bay,-19.155701,146.848903
Nome,-19.3633,146.932644
North Ward,-19.246356,146.81057
Oak Valley,-19.402948,146.819384
Oonoonba,-19.299739,146.817719
Pallarenda,-19.201853,146.772912
Paluma,-19.01072,146.19139
Picnic Bay,-19.175569,146.83964
Pimlico,-19.285476,146.786777
Pinnacles,-19.443423,146.688828
Railway Estate,-19.277349,146.819388
Rangewood,-19.311678,146.638607
Rasmussen,-19.351765,146.72303
Reid River,-19.763,146.83416
Rollingstone,-19.044717,146.39184
Roseneath,-19.361988,146.834555
Rosslea,-19.295023,146.802132
Rowes Bay,-19.237884,146.786455
Saunders Beach,-19.157201,146.606787
Shaw,-19.28495,146.70322
South Townsville,-19.260595,146.830625
Stuart,-19.344,146.8425
Thuringowa Central,-19.310878,146.726516
Toolakea,-19.146903,146.586265
Toomulla,-19.078534,146.471491
Town Common,-19.207902,146.743955
Townsville City,-19.259749,146.814815
Vincent,-19.282634,146.764107
West End,-19.265,146.7928
West Point,-19.133271,146.783796
Woodstock,-19.6521,146.8538
Wulguru,-19.329286,146.816126
Yabulu,-19.201933,146.612847
